         891256 function calls (890504 primitive calls) in 2.705 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 connections.py:1256(LoadLocalFile)
        1    0.000    0.000    0.004    0.004 connections.py:183(__init__)
        1    0.000    0.000    0.000    0.000 connections.py:304(<dictcomp>)
        1    0.000    0.000    0.000    0.000 connections.py:305(<dictcomp>)
        1    0.000    0.000    0.000    0.000 connections.py:344(close)
        1    0.000    0.000    0.000    0.000 connections.py:371(_force_close)
        1    0.000    0.000    0.000    0.000 connections.py:383(autocommit)
        1    0.000    0.000    0.000    0.000 connections.py:389(get_autocommit)
     2002    0.004    0.000    0.186    0.000 connections.py:393(_read_ok_packet)
        1    0.000    0.000    0.000    0.000 connections.py:401(_send_autocommit_mode)
     2001    0.004    0.000    0.232    0.000 connections.py:412(commit)
        1    0.000    0.000    0.000    0.000 connections.py:448(escape)
        1    0.000    0.000    0.000    0.000 connections.py:481(cursor)
        1    0.000    0.000    0.026    0.026 connections.py:5(<module>)
    12000    0.035    0.000    2.281    0.000 connections.py:508(query)
        1    0.000    0.000    0.003    0.003 connections.py:564(connect)
        1    0.000    0.000    0.000    0.000 connections.py:637(write_packet)
    14004    0.071    0.000    1.888    0.000 connections.py:648(_read_packet)
    28008    0.048    0.000    1.783    0.000 connections.py:687(_read_bytes)
    14004    0.018    0.000    0.207    0.000 connections.py:710(_write_bytes)
    12000    0.027    0.000    1.983    0.000 connections.py:720(_read_query_result)
        1    0.000    0.000    0.000    0.000 connections.py:74(_makefile)
    14002    0.061    0.000    0.295    0.000 connections.py:744(_execute_command)
        1    0.000    0.000    0.001    0.001 connections.py:786(_request_authentication)
        1    0.000    0.000    0.000    0.000 connections.py:96(pack_int24)
        1    0.000    0.000    0.001    0.001 connections.py:973(_get_server_information)
        1    0.000    0.000    0.008    0.008 converters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 converters.py:108(<listcomp>)
        1    0.000    0.000    0.000    0.000 converters.py:12(escape_item)
        1    0.000    0.000    0.000    0.000 converters.py:47(escape_bool)
        1    0.000    0.000    0.000    0.000 converters.py:59(<listcomp>)
